J.D.-2400000,rel_flux_T1_n,rel_flux_err_T1_n
59441.40291,1.002416,0.002561
59441.40554,1.008719,0.002579
59441.40819,1.005298,0.002576
59441.41083,1.006038,0.00258
59441.41347,1.010086,0.002592
59441.41612,1.004026,0.002598
59441.41876,1.01081,0.002613
59441.4214,1.008029,0.00262
59441.42405,1.007702,0.002613
59441.42669,1.00681,0.002608
59441.42933,0.995988,0.002732
59441.44164,1.00776,0.00264
59441.44428,1.011848,0.002654
59441.44693,1.008991,0.002659
59441.44957,1.007363,0.002658
59441.45222,0.99838,0.002628
59441.45486,0.997187,0.002634
59441.45751,0.999365,0.002644
59441.46016,1.003529,0.002669
59441.4628,0.996918,0.002658
59441.46545,1.000435,0.002676
59441.4681,0.991035,0.002657
59441.47075,0.995559,0.002681
59441.47339,0.995947,0.0027
59441.47604,0.985661,0.002685
59441.47869,0.990246,0.002712
59441.48133,0.989586,0.002718
59441.48398,0.992358,0.002745
59441.48662,0.992426,0.002747
59441.48927,0.988588,0.002753
59441.49192,0.986798,0.002743
59441.49456,0.988064,0.002767
59441.49721,0.988221,0.00279
59441.49986,0.986135,0.002787
59441.5025,0.991257,0.002837
59441.50515,0.990309,0.002844
59441.50779,0.987671,0.00284
59441.51044,0.993238,0.002852
59441.51308,0.993134,0.002867
59441.51573,0.986734,0.002843
59441.51837,0.996068,0.002874
59441.52102,0.997723,0.002869
59441.52366,1.001338,0.002895
59441.52631,1.004729,0.002917
59441.52895,1.005402,0.002921
59441.5316,1.008501,0.002938
59441.53424,1.00672,0.002928
59441.53689,1.010772,0.002959
59441.53953,1.012385,0.003001
59441.54218,1.00844,0.003013
59441.54482,1.008669,0.003025
59441.54747,1.009778,0.003055
59441.55012,1.003366,0.003074
59441.55277,1.007019,0.00311
59441.55541,1.009299,0.003148
59441.55806,0.996801,0.003131
59441.56071,0.996658,0.003129
59441.56335,1.004244,0.003181
59441.56598,1.004412,0.003188
